shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10__2____1__IT_1,40.3995965596652,-3.7797191408885,1000039,10.513712892092
10__2____1__IT_1,40.3996853731056,-3.77978960482294,1000040,11.052446156638
10__2____1__IT_1,40.3997718556012,-3.77984741788846,1000041,11.601960399332
10__2____1__IT_1,40.3998548054826,-3.77989256262797,1000042,12.161447644457
10__2____1__IT_1,40.3999450263752,-3.77993305776316,1000043,12.731522985759
10__2____1__IT_1,40.4000268861894,-3.77996083112688,1000044,13.310985789695
10__2____1__IT_1,40.4001666056127,-3.77999716057929,1000045,13.906261461847
10__2____1__IT_1,40.4004280521803,-3.78005383574536,1000046,14.53095457114
10__2____1__IT_1,40.4005557696734,-3.78008055737681,1000047,15.170005039446
10__2____1__IT_1,40.4006617272215,-3.78011334656993,1000048,15.821141885014
10__2____1__IT_1,40.400766436875,-3.7801524306884,1000049,16.484365894965
10__2____1__IT_1,40.4008710905706,-3.7801994049534,1000050,17.159871811875
10__2____1__IT_1,40.4009840769089,-3.78026383837275,1000051,17.849059799773
10__2____1__IT_1,40.4010621564216,-3.78031524218711,1000052,18.547950808615
10__2____1__IT_1,40.4011546191741,-3.78038101335525,1000053,19.258525032138
10__2____1__IT_1,40.4013118493775,-3.78050435389097,1000054,19.989450451503
10__2____1__IT_1,40.4015086698809,-3.78066128968641,1000055,20.74596290183
10__2____1__IT_1,40.4020331467939,-3.78107611013747,1000056,21.570509650576
10__2____1__IT_1,40.4022821747969,-3.78127330854671,1000057,22.427370257808
10__2____1__IT_1,40.4022821747969,-3.78127330854671,2000001,22.427370257808
10__2____1__IT_1,40.4025948096003,-3.7815229294353,2000002,22.468028229823
10__2____1__IT_1,40.4031180769832,-3.78193774936962,2000003,22.576605344741
10__2____1__IT_1,40.4032261368354,-3.7820163348165,2000004,22.698906685201
10__2____1__IT_1,40.4033282945549,-3.78207591202772,2000005,22.833623903266
10__2____1__IT_1,40.4034016666676,-3.78210990303226,2000006,22.976981414341
10__2____1__IT_1,40.4034823205495,-3.78213766773969,2000007,23.129596664115
10__2____1__IT_1,40.4035521682636,-3.78215741527187,2000008,23.290144318369
10__2____1__IT_1,40.4036196625708,-3.78216867541754,2000009,23.458244798367
10__2____1__IT_1,40.4037100681957,-3.78218133565703,2000010,23.63643800795
10__2____1__IT_1,40.4038004803545,-3.7821934291657,2000011,23.824719662696
10__2____1__IT_1,40.4038595770875,-3.78219726800896,2000012,24.01956937515
10__2____1__IT_1,40.4039343146185,-3.78220760097183,2000013,24.222761462836
10__2____1__IT_1,40.4039945748511,-3.78221776754627,2000014,24.432698083456
10__2____1__IT_1,40.4040668563236,-3.78223438754858,2000015,24.650781249294
10__2____1__IT_1,40.4041599935235,-3.78226355228146,2000016,24.879495115527
10__2____1__IT_1,40.4042762303468,-3.78231887915145,2000017,25.121939380692
10__2____1__IT_1,40.4043279064323,-3.78234946493186,2000018,25.370679761338
10__2____1__IT_1,40.4044023671812,-3.7824008318572,2000019,25.628764541433
10__2____1__IT_1,40.4045452343533,-3.78250665426308,2000020,25.90507407771
10__2____1__IT_1,40.4047949127269,-3.782697361828,2000021,26.213477717227
10__2____1__IT_1,40.4050121662451,-3.78286559966606,2000022,26.5499062705
10__2____1__IT_1,40.4054971091485,-3.78323738408128,2000023,26.948729197304
10__2____1__IT_1,40.4059904853684,-3.78361085088672,2000024,27.410827191327
10__2____1__IT_1,40.406427400811,-3.78394736754193,2000025,27.929206733176
10__2____1__IT_1,40.4064730435518,-3.78397788556054,2000026,28.453276263044
10__2____1__IT_1,40.4065211415344,-3.78400211645587,2000027,28.983067103611
10__2____1__IT_1,40.406592154969,-3.78402819486326,2000028,29.521045447142
10__2____1__IT_1,40.4066426885621,-3.78404929921539,2000029,30.064912154708
10__2____1__IT_1,40.4066979720969,-3.78408150613726,2000030,30.615496603789
10__2____1__IT_1,40.4068420866454,-3.78418103573646,2000031,31.184170905774
10__2____1__IT_1,40.406878089405,-3.78420986417685,2000032,31.757530909254
10__2____1__IT_1,40.4069116663232,-3.78424024252986,2000033,32.33542266065
10__2____1__IT_1,40.4069559966087,-3.78428652967059,2000034,32.919610574326
10__2____1__IT_1,40.406989576208,-3.78431690812839,2000035,33.508330484162
10__2____1__IT_1,40.4070195879906,-3.784339352634,2000036,34.100887801099
